file	line	indicator	note
approved/auth-clerk-index-before-profile-button-fix-20260707.js	1	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-profile-button-fix-20260707.js	2	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-profile-button-fix-20260707.js	43	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-profile-button-fix-20260707.js	44	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-profile-button-fix-20260707.js	45	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-profile-button-fix-20260707.js	57	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-profile-button-fix-20260707.js	59	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-profile-button-fix-20260707.js	69	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-vvip-gate-login-20260707.js	1	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-vvip-gate-login-20260707.js	2	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-vvip-gate-login-20260707.js	44	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-vvip-gate-login-20260707.js	53	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-vvip-gate-login-20260707.js	61	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-vvip-gate-login-20260707.js	79	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-vvip-gate-login-20260707.js	81	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/auth-clerk-index-before-vvip-gate-login-20260707.js	91	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-official-ui-20260707.html	269	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-official-ui-20260707.html	270	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-official-ui-20260707.html	271	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-official-ui-20260707.html	275	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-official-ui-20260707.html	277	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-official-ui-20260707.html	281	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-official-ui-20260707.html	296	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-official-ui-20260707.html	311	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-supabase-bridge-20260707.html	118	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-supabase-bridge-20260707.html	129	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-supabase-bridge-20260707.html	160	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-supabase-bridge-20260707.html	161	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-supabase-bridge-20260707.html	165	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-supabase-bridge-20260707.html	167	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-supabase-bridge-20260707.html	175	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-tiger-care-card-20260707.html	610	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-tiger-care-card-20260707.html	611	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-tiger-care-card-20260707.html	750	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-tiger-care-card-20260707.html	751	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-tiger-care-card-20260707.html	752	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-tiger-care-card-20260707.html	792	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-tiger-care-card-20260707.html	794	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-tiger-care-card-20260707.html	799	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-tiger-care-card-20260707.html	814	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-tiger-care-card-20260707.html	829	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-vip-membership-center-20260707.html	536	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-vip-membership-center-20260707.html	537	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-vip-membership-center-20260707.html	633	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-vip-membership-center-20260707.html	634	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-vip-membership-center-20260707.html	635	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-vip-membership-center-20260707.html	675	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-vip-membership-center-20260707.html	677	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-vip-membership-center-20260707.html	682	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-vip-membership-center-20260707.html	697	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
approved/clerk-private-profile-before-vip-membership-center-20260707.html	712	REVIEW_REQUIRED	Potential launch navigation/action point; source content intentionally not copied
